0 77
0 n 5
0 d 10
0 q 25
0 r 0
0 s 66
5 n 10
5 d 15
5 q 30
5 r 0
5 s 66
10 n 15
10 d 20
10 q 35
10 r 0
10 s 66
15 n 20
15 d 25
15 q 40
15 r 0
15 s 66
20 n 25
20 d 30
20 q 45
20 r 0
20 s 66
25 n 30
25 d 35
25 q 50
25 r 0
25 s 66
30 n 35
30 d 40
30 q 55
30 r 0
30 s 66
35 n 40
35 d 45
35 q 60
35 r 0
35 s 66
40 n 45
40 d 50
40 q 65
40 r 0
40 s 66
45 n 50
45 d 55
45 q 70
45 r 0
45 s 66
50 n 55
50 d 60
50 q 75
50 r 0
50 s 66
55 n 60
55 d 65
55 q 66
55 r 0
55 s 66
60 n 65
60 d 70
60 q 66
60 r 0
60 s 66
65 n 70
65 d 75
65 q 66
65 r 0
65 s 66
70 n 75
70 d 66
70 q 66
70 r 0
70 s 66
75 n 66
75 d 66
75 q 66
75 r 0
75 s 77
77 n 66
77 d 66
77 q 66
77 r 0
77 s 66
66 n 66
66 d 66
66 q 66
66 r 0
66 s 66
